type,time,latitude,longitude,accuracy (m),altitude (m),geoid_height (m),speed (m/s),bearing (deg),sat_used,sat_inview,name,desc
T,2021-10-15 13:18:48,52.08737501,5.16355888,5,54.400,,0.000,139,15,20,,
T,2021-10-15 13:18:49,52.08737501,5.16355888,5,54.400,,0.062,140,17,21,,
T,2021-10-15 13:18:50,52.08737501,5.16355888,5,54.400,,0.062,141,18,21,,
T,2021-10-15 13:18:51,52.08737501,5.16355888,5,54.400,,0.125,142,18,21,,
T,2021-10-15 13:18:52,52.08737501,5.16355888,5,54.400,,0.000,143,18,20,,
T,2021-10-15 13:18:53,52.08738009,5.16355209,5,53.600,,0.438,141,17,20,,
T,2021-10-15 13:18:54,52.08738658,5.16355704,5,53.500,,0.750,125,17,20,,
T,2021-10-15 13:18:55,52.08739488,5.16355360,5,53.500,,0.938,66,17,20,,
T,2021-10-15 13:18:56,52.08740330,5.16354748,5,53.400,,1.062,16,17,20,,
T,2021-10-15 13:18:57,52.08741655,5.16354480,5,53.300,,1.438,357,18,20,,
T,2021-10-15 13:18:58,52.08743176,5.16354715,5,53.200,,1.562,352,16,20,,
T,2021-10-15 13:18:59,52.08744622,5.16355310,5,53.100,,1.500,358,18,20,,
T,2021-10-15 13:19:00,52.08745929,5.16355041,5,53.100,,1.500,346,18,20,,
T,2021-10-15 13:19:01,52.08747149,5.16354312,5,53.100,,1.312,337,18,20,,
T,2021-10-15 13:19:02,52.08748373,5.16353876,5,53.100,,1.312,335,17,20,,
T,2021-10-15 13:19:03,52.08749647,5.16353449,5,53.100,,1.375,335,18,20,,
T,2021-10-15 13:19:04,52.08750908,5.16353432,5,53.300,,1.375,335,16,21,,
T,2021-10-15 13:19:05,52.08752308,5.16353667,5,53.300,,1.500,342,16,21,,
T,2021-10-15 13:19:06,52.08753716,5.16354044,5,53.300,,1.562,348,17,21,,
T,2021-10-15 13:19:07,52.08755229,5.16353826,5,53.300,,1.562,351,18,21,,
T,2021-10-15 13:19:08,52.08756922,5.16353658,5,53.300,,1.688,353,18,21,,
T,2021-10-15 13:19:09,52.08758406,5.16353239,5,53.300,,1.625,353,16,21,,
T,2021-10-15 13:19:10,52.08759881,5.16353273,5,53.300,,1.500,356,17,21,,
T,2021-10-15 13:19:11,52.08760879,5.16353063,5,53.400,,1.125,355,17,21,,
T,2021-10-15 13:19:12,52.08762031,5.16352795,5,53.400,,1.188,354,17,21,,
T,2021-10-15 13:19:13,52.08763381,5.16352301,5,53.400,,1.375,351,17,21,,
T,2021-10-15 13:19:14,52.08764935,5.16352301,5,53.500,,1.375,350,17,20,,
T,2021-10-15 13:19:15,52.08766369,5.16352141,5,53.400,,1.375,348,16,20,,
T,2021-10-15 13:19:16,52.08767689,5.16352007,5,53.600,,1.250,348,16,20,,
T,2021-10-15 13:19:17,52.08769189,5.16351831,5,53.700,,1.438,349,15,20,,
T,2021-10-15 13:19:18,52.08770509,5.16351412,5,53.700,,1.312,345,16,21,,
T,2021-10-15 13:19:19,52.08771829,5.16350934,5,53.700,,1.375,341,16,21,,
T,2021-10-15 13:19:20,52.08773225,5.16350079,5,53.700,,1.375,339,17,21,,
T,2021-10-15 13:19:21,52.08774482,5.16349300,5,53.700,,1.375,335,16,21,,
T,2021-10-15 13:19:22,52.08775911,5.16348688,5,53.900,,1.500,334,15,21,,
T,2021-10-15 13:19:23,52.08777106,5.16348034,5,54.000,,1.312,333,15,21,,
T,2021-10-15 13:19:24,52.08778233,5.16347439,5,54.200,,1.250,336,15,21,,
T,2021-10-15 13:19:25,52.08779629,5.16347146,5,54.400,,1.375,340,15,21,,
T,2021-10-15 13:19:26,52.08781335,5.16347188,5,54.500,,1.625,347,16,21,,
T,2021-10-15 13:19:27,52.08782575,5.16347255,5,54.700,,1.312,347,16,21,,
T,2021-10-15 13:19:28,52.08783774,5.16347020,5,55.000,,1.125,349,15,21,,
T,2021-10-15 13:19:29,52.08785069,5.16347330,5,55.300,,1.188,351,16,21,,
T,2021-10-15 13:19:30,52.08786091,5.16347322,5,55.500,,0.938,353,16,21,,
T,2021-10-15 13:19:31,52.08787650,5.16347447,5,55.800,,1.250,3,16,21,,
T,2021-10-15 13:19:32,52.08788908,5.16347204,5,55.800,,1.062,6,17,21,,
T,2021-10-15 13:19:33,52.08790144,5.16346685,5,55.800,,1.062,6,16,21,,
T,2021-10-15 13:19:34,52.08791808,5.16346609,5,55.700,,1.438,11,16,21,,
T,2021-10-15 13:19:35,52.08793308,5.16347112,5,55.900,,1.562,13,16,21,,
T,2021-10-15 13:19:36,52.08794976,5.16347548,5,56.100,,1.688,13,15,21,,
T,2021-10-15 13:19:37,52.08796732,5.16347892,5,56.100,,1.688,14,16,21,,
T,2021-10-15 13:19:38,52.08798442,5.16348428,5,56.000,,1.688,8,17,21,,
T,2021-10-15 13:19:39,52.08800697,5.16349124,5,55.800,,2.062,7,17,21,,
T,2021-10-15 13:19:40,52.08802625,5.16349467,5,55.700,,1.875,5,18,21,,
T,2021-10-15 13:19:41,52.08804284,5.16349308,5,55.600,,1.688,4,18,21,,
T,2021-10-15 13:19:42,52.08805642,5.16349375,5,55.700,,1.375,2,17,21,,
T,2021-10-15 13:19:43,52.08807008,5.16349342,5,55.500,,1.375,0,17,21,,
T,2021-10-15 13:19:44,52.08808467,5.16349065,5,55.400,,1.438,357,16,21,,
T,2021-10-15 13:19:45,52.08810206,5.16348914,5,55.600,,1.812,359,17,21,,
T,2021-10-15 13:19:46,52.08812260,5.16348856,5,55.500,,2.000,2,18,21,,
T,2021-10-15 13:19:47,52.08813869,5.16349384,5,55.600,,1.688,2,17,21,,
T,2021-10-15 13:19:48,52.08815147,5.16350037,5,55.700,,1.438,2,17,20,,
T,2021-10-15 13:19:49,52.08817004,5.16349937,5,55.600,,1.688,1,17,21,,
T,2021-10-15 13:19:50,52.08818701,5.16349216,5,55.600,,1.688,357,17,21,,
T,2021-10-15 13:19:51,52.08820269,5.16348235,5,55.600,,1.625,350,18,21,,
T,2021-10-15 13:19:52,52.08821953,5.16347816,5,55.600,,1.688,353,18,21,,
T,2021-10-15 13:19:53,52.08823466,5.16347892,5,55.700,,1.562,352,17,21,,
T,2021-10-15 13:19:54,52.08824904,5.16347841,5,55.600,,1.375,351,17,21,,
T,2021-10-15 13:19:55,52.08826161,5.16348068,5,55.500,,1.250,351,17,21,,
T,2021-10-15 13:19:56,52.08827427,5.16348353,5,55.600,,1.188,351,18,21,,
T,2021-10-15 13:19:57,52.08828504,5.16348805,5,55.700,,1.125,356,18,21,,
T,2021-10-15 13:19:58,52.08829887,5.16349845,5,55.800,,1.438,2,18,21,,
T,2021-10-15 13:19:59,52.08831333,5.16350490,5,55.800,,1.375,4,17,21,,
T,2021-10-15 13:20:00,52.08832468,5.16350867,5,56.000,,1.250,7,17,21,,
T,2021-10-15 13:20:01,52.08833994,5.16351278,5,56.000,,1.375,4,17,21,,
T,2021-10-15 13:20:02,52.08835037,5.16351538,5,56.100,,1.125,2,17,21,,
T,2021-10-15 13:20:03,52.08836094,5.16351538,5,56.000,,1.062,1,17,21,,
T,2021-10-15 13:20:04,52.08837057,5.16351052,5,55.900,,1.000,358,17,21,,
T,2021-10-15 13:20:05,52.08838185,5.16350113,5,55.600,,1.188,355,18,20,,
T,2021-10-15 13:20:06,52.08839383,5.16349400,5,55.600,,1.188,352,17,20,,
T,2021-10-15 13:20:07,52.08840787,5.16348219,5,55.600,,1.562,341,16,19,,
T,2021-10-15 13:20:08,52.08842200,5.16347062,5,55.600,,1.562,337,16,20,,
T,2021-10-15 13:20:09,52.08843424,5.16346567,5,55.500,,1.250,337,17,20,,
T,2021-10-15 13:20:10,52.08844555,5.16347037,5,55.300,,1.062,344,17,20,,
T,2021-10-15 13:20:11,52.08845712,5.16348084,5,55.200,,1.188,354,17,19,,
T,2021-10-15 13:20:12,52.08846672,5.16349744,5,55.200,,1.312,23,17,20,,
T,2021-10-15 13:20:13,52.08847459,5.16351697,5,55.100,,1.375,37,18,20,,
T,2021-10-15 13:20:14,52.08848461,5.16353860,5,54.900,,1.562,42,18,20,,
T,2021-10-15 13:20:15,52.08849526,5.16355519,5,54.700,,1.438,47,18,20,,
T,2021-10-15 13:20:16,52.08850506,5.16357782,5,54.700,,1.625,54,17,20,,
T,2021-10-15 13:20:17,52.08851424,5.16360406,5,54.600,,1.688,63,17,20,,
T,2021-10-15 13:20:18,52.08852069,5.16363432,5,54.700,,1.812,72,16,20,,
T,2021-10-15 13:20:19,52.08852811,5.16366642,5,54.500,,1.875,76,17,20,,
T,2021-10-15 13:20:20,52.08853595,5.16369383,5,54.200,,1.688,78,17,20,,
T,2021-10-15 13:20:21,52.08854395,5.16371856,5,53.900,,1.562,78,17,20,,
T,2021-10-15 13:20:22,52.08855179,5.16374362,5,53.700,,1.500,77,17,20,,
T,2021-10-15 13:20:23,52.08855686,5.16376424,5,53.500,,1.312,79,17,20,,
T,2021-10-15 13:20:24,52.08856319,5.16378871,5,53.300,,1.500,79,17,20,,
T,2021-10-15 13:20:25,52.08856315,5.16381402,5,53.200,,1.500,85,17,20,,
T,2021-10-15 13:20:26,52.08856202,5.16383599,5,53.100,,1.312,93,17,20,,
T,2021-10-15 13:20:27,52.08856168,5.16385761,5,52.700,,1.188,97,17,20,,
T,2021-10-15 13:20:28,52.08856403,5.16387898,5,52.500,,1.312,95,15,20,,
T,2021-10-15 13:20:29,52.08856776,5.16389801,5,52.200,,1.188,95,16,20,,
T,2021-10-15 13:20:30,52.08857379,5.16391779,5,51.900,,1.312,86,16,20,,
T,2021-10-15 13:20:31,52.08857681,5.16393665,5,51.700,,1.188,82,16,20,,
T,2021-10-15 13:20:32,52.08857912,5.16395652,5,51.400,,1.250,77,17,20,,
T,2021-10-15 13:20:33,52.08858054,5.16397714,5,51.400,,1.250,73,16,20,,
T,2021-10-15 13:20:34,52.08858486,5.16399658,5,51.400,,1.312,66,17,20,,
T,2021-10-15 13:20:35,52.08859043,5.16401410,5,51.700,,1.188,61,16,20,,
T,2021-10-15 13:20:36,52.08859270,5.16403170,5,52.000,,1.062,59,17,20,,
T,2021-10-15 13:20:37,52.08859584,5.16405073,5,52.300,,1.188,60,17,20,,
T,2021-10-15 13:20:38,52.08859542,5.16407093,5,52.600,,1.188,61,14,20,,
T,2021-10-15 13:20:39,52.08859584,5.16409088,5,52.900,,1.250,65,15,20,,
T,2021-10-15 13:20:40,52.08859596,5.16411753,5,53.100,,1.500,69,16,20,,
T,2021-10-15 13:20:41,52.08859479,5.16414260,5,53.400,,1.438,74,17,20,,
T,2021-10-15 13:20:42,52.08859538,5.16416858,5,53.700,,1.500,76,16,20,,
T,2021-10-15 13:20:43,52.08859425,5.16418861,5,54.000,,1.250,79,16,20,,
T,2021-10-15 13:20:44,52.08859177,5.16420554,5,54.300,,1.188,83,16,20,,
T,2021-10-15 13:20:45,52.08859202,5.16422558,5,54.600,,1.125,81,17,20,,
T,2021-10-15 13:20:46,52.08859295,5.16424787,5,54.700,,1.250,82,16,20,,
T,2021-10-15 13:20:47,52.08859026,5.16427134,5,55.100,,1.312,83,17,20,,
T,2021-10-15 13:20:48,52.08858746,5.16428953,5,55.400,,1.062,83,17,20,,
T,2021-10-15 13:20:49,52.08858503,5.16429892,5,55.600,,0.688,85,15,20,,
T,2021-10-15 13:20:50,52.08857702,5.16431090,5,55.800,,1.188,96,17,20,,
T,2021-10-15 13:20:51,52.08856793,5.16432691,5,56.100,,1.312,105,17,20,,
T,2021-10-15 13:20:52,52.08856558,5.16434887,5,56.500,,1.250,111,16,20,,
T,2021-10-15 13:20:53,52.08856403,5.16436690,5,56.900,,1.125,116,17,20,,
T,2021-10-15 13:20:54,52.08856738,5.16438575,5,57.300,,1.125,110,16,20,,
T,2021-10-15 13:20:55,52.08857182,5.16440285,5,57.800,,1.125,106,17,20,,
T,2021-10-15 13:20:56,52.08857229,5.16441677,5,58.100,,0.938,103,16,20,,
T,2021-10-15 13:20:57,52.08857023,5.16443504,5,58.300,,1.062,95,16,20,,
T,2021-10-15 13:20:58,52.08857153,5.16446061,5,58.500,,1.312,92,16,20,,
T,2021-10-15 13:20:59,52.08856885,5.16448558,5,58.600,,1.375,92,17,20,,
T,2021-10-15 13:21:00,52.08856793,5.16451006,5,58.800,,1.375,92,17,20,,
T,2021-10-15 13:21:01,52.08856885,5.16452976,5,58.900,,1.188,91,17,20,,
T,2021-10-15 13:21:02,52.08857115,5.16455255,5,58.900,,1.312,86,17,20,,
T,2021-10-15 13:21:03,52.08857120,5.16457049,5,59.000,,1.250,88,17,20,,
T,2021-10-15 13:21:04,52.08857161,5.16459103,5,59.300,,1.312,91,16,20,,
T,2021-10-15 13:21:05,52.08857086,5.16461525,5,59.700,,1.375,89,17,20,,
T,2021-10-15 13:21:06,52.08857279,5.16463486,5,59.900,,1.188,90,17,20,,
T,2021-10-15 13:21:07,52.08857220,5.16465347,5,60.000,,1.000,88,17,20,,
T,2021-10-15 13:21:08,52.08857082,5.16467459,5,60.100,,1.250,90,17,20,,
T,2021-10-15 13:21:09,52.08856818,5.16470008,5,60.200,,1.500,94,17,20,,
T,2021-10-15 13:21:10,52.08856554,5.16471927,5,60.400,,0.625,93,18,20,,
T,2021-10-15 13:21:11,52.08856809,5.16472757,5,60.300,,0.312,94,18,20,,
T,2021-10-15 13:21:12,52.08856927,5.16473821,5,59.600,,0.000,94,18,20,,
T,2021-10-15 13:21:13,52.08856927,5.16473821,5,59.600,,0.062,94,18,20,,
T,2021-10-15 13:21:14,52.08858113,5.16476730,5,58.500,,1.250,95,17,20,,
T,2021-10-15 13:21:15,52.08858151,5.16478247,5,58.600,,1.125,95,17,21,,
T,2021-10-15 13:21:16,52.08858192,5.16480083,5,58.600,,1.250,94,17,21,,
T,2021-10-15 13:21:17,52.08858431,5.16482497,5,58.900,,1.375,87,18,21,,
T,2021-10-15 13:21:18,52.08858138,5.16484357,5,58.700,,1.312,90,18,21,,
T,2021-10-15 13:21:19,52.08858033,5.16487123,5,58.600,,1.812,91,18,21,,
T,2021-10-15 13:21:20,52.08857518,5.16490309,5,58.800,,2.188,91,18,21,,
T,2021-10-15 13:21:21,52.08857513,5.16494198,5,59.000,,2.438,90,17,21,,
T,2021-10-15 13:21:22,52.08857346,5.16497098,5,59.100,,2.000,90,18,21,,
T,2021-10-15 13:21:23,52.08856998,5.16499428,5,59.200,,1.625,91,17,21,,
T,2021-10-15 13:21:24,52.08856990,5.16501850,5,59.400,,1.562,90,16,21,,
T,2021-10-15 13:21:25,52.08856650,5.16504776,5,59.500,,1.750,89,16,21,,
T,2021-10-15 13:21:26,52.08856369,5.16507383,5,59.800,,1.500,83,17,21,,
T,2021-10-15 13:21:27,52.08856256,5.16511020,5,60.300,,1.875,67,17,21,,
T,2021-10-15 13:21:28,52.08857698,5.16514247,5,60.600,,2.375,57,15,21,,
T,2021-10-15 13:21:29,52.08858762,5.16517156,5,60.900,,2.000,47,17,21,,
T,2021-10-15 13:21:30,52.08859316,5.16519612,5,61.100,,1.562,43,17,21,,
T,2021-10-15 13:21:31,52.08858951,5.16521229,5,61.300,,0.938,41,17,21,,
T,2021-10-15 13:21:32,52.08858159,5.16523090,5,61.700,,1.062,61,17,21,,
T,2021-10-15 13:21:33,52.08857291,5.16524113,5,62.000,,1.000,73,17,21,,
T,2021-10-15 13:21:34,52.08855875,5.16524943,5,62.200,,1.312,112,17,21,,
T,2021-10-15 13:21:35,52.08854764,5.16525839,5,62.400,,1.125,133,17,21,,
T,2021-10-15 13:21:36,52.08853587,5.16526233,5,62.600,,1.125,147,17,21,,
T,2021-10-15 13:21:37,52.08852790,5.16526418,5,62.700,,0.938,163,17,21,,
T,2021-10-15 13:21:38,52.08852329,5.16526359,5,62.800,,0.000,169,18,21,,
T,2021-10-15 13:21:39,52.08852472,5.16526041,5,62.900,,0.312,179,18,20,,
T,2021-10-15 13:21:40,52.08852593,5.16525689,5,63.100,,0.375,189,18,20,,
T,2021-10-15 13:21:41,52.08852593,5.16525689,5,63.100,,0.250,189,18,20,,
T,2021-10-15 13:21:42,52.08852593,5.16525689,5,63.100,,0.312,191,18,20,,
T,2021-10-15 13:21:43,52.08852593,5.16525689,5,63.100,,0.188,186,18,20,,
T,2021-10-15 13:21:44,52.08852593,5.16525689,5,63.100,,0.125,182,17,20,,
T,2021-10-15 13:21:45,52.08852593,5.16525689,5,63.100,,0.188,180,17,20,,
T,2021-10-15 13:21:46,52.08851592,5.16522001,5,64.700,,0.812,177,18,20,,
T,2021-10-15 13:21:47,52.08850569,5.16522076,5,65.000,,1.062,175,18,20,,
T,2021-10-15 13:21:48,52.08849689,5.16522629,5,65.200,,0.938,172,18,20,,
T,2021-10-15 13:21:49,52.08848595,5.16522864,5,65.300,,1.250,174,18,20,,
T,2021-10-15 13:21:50,52.08847057,5.16522814,5,65.400,,1.500,174,18,20,,
T,2021-10-15 13:21:51,52.08845846,5.16522453,5,65.400,,1.312,178,18,20,,
T,2021-10-15 13:21:52,52.08844681,5.16522336,5,65.300,,1.250,175,17,20,,
T,2021-10-15 13:21:53,52.08843390,5.16522143,5,65.400,,1.250,176,17,20,,
T,2021-10-15 13:21:54,52.08842221,5.16521959,5,65.500,,1.188,174,16,20,,
T,2021-10-15 13:21:55,52.08841043,5.16521883,5,65.700,,1.250,170,16,20,,
T,2021-10-15 13:21:56,52.08839555,5.16521942,5,65.900,,1.500,168,16,20,,
T,2021-10-15 13:21:57,52.08837799,5.16522386,5,65.900,,1.562,167,15,20,,
T,2021-10-15 13:21:58,52.08836684,5.16522403,5,66.000,,1.188,168,17,20,,
T,2021-10-15 13:21:59,52.08835561,5.16521959,5,66.100,,1.188,172,17,20,,
T,2021-10-15 13:22:00,52.08834241,5.16521741,5,66.100,,1.188,175,17,20,,
T,2021-10-15 13:22:01,52.08832875,5.16521841,5,66.100,,1.375,169,17,20,,
T,2021-10-15 13:22:02,52.08832234,5.16522797,5,66.000,,1.062,168,17,21,,
T,2021-10-15 13:22:03,52.08830997,5.16523073,5,66.100,,1.188,172,17,21,,
T,2021-10-15 13:22:04,52.08829945,5.16523451,5,66.100,,0.562,173,17,21,,
T,2021-10-15 13:22:05,52.08829799,5.16524071,5,66.000,,0.375,174,16,21,,
T,2021-10-15 13:22:06,52.08829887,5.16524700,5,65.800,,0.062,174,16,21,,
T,2021-10-15 13:22:07,52.08829887,5.16524700,5,65.800,,0.125,174,18,21,,
T,2021-10-15 13:22:08,52.08829887,5.16524700,5,65.800,,0.125,174,18,21,,
T,2021-10-15 13:22:09,52.08829887,5.16524700,5,65.800,,0.188,174,18,21,,
T,2021-10-15 13:22:10,52.08829170,5.16527767,5,65.400,,1.000,155,18,21,,
T,2021-10-15 13:22:11,52.08828516,5.16530005,5,65.100,,1.375,122,16,21,,
T,2021-10-15 13:22:12,52.08827821,5.16532696,5,64.900,,1.625,107,18,21,,
T,2021-10-15 13:22:13,52.08827443,5.16534976,5,64.700,,1.625,98,17,20,,
T,2021-10-15 13:22:14,52.08826744,5.16537650,5,64.600,,1.750,96,17,20,,
T,2021-10-15 13:22:15,52.08826299,5.16540105,5,64.400,,1.500,95,17,20,,
T,2021-10-15 13:22:16,52.08826429,5.16542293,5,64.300,,1.188,94,17,21,,
T,2021-10-15 13:22:17,52.08826526,5.16544246,5,64.000,,1.062,94,17,21,,
T,2021-10-15 13:22:18,52.08826773,5.16546350,5,63.800,,1.250,90,17,21,,
T,2021-10-15 13:22:19,52.08827008,5.16547951,5,63.700,,0.938,85,18,21,,
T,2021-10-15 13:22:20,52.08826823,5.16549988,5,63.700,,1.125,90,18,21,,
T,2021-10-15 13:22:21,52.08826798,5.16552175,5,63.400,,1.188,87,17,21,,
T,2021-10-15 13:22:22,52.08826785,5.16554740,5,63.200,,1.438,92,16,21,,
T,2021-10-15 13:22:23,52.08826668,5.16557079,5,63.100,,1.375,94,17,21,,
T,2021-10-15 13:22:24,52.08826438,5.16559761,5,63.100,,1.562,96,17,21,,
T,2021-10-15 13:22:25,52.08826412,5.16562167,5,63.100,,1.562,96,17,21,,
T,2021-10-15 13:22:26,52.08826601,5.16564782,5,63.100,,1.562,95,18,21,,
T,2021-10-15 13:22:27,52.08826614,5.16567841,5,63.100,,1.750,96,18,21,,
T,2021-10-15 13:22:28,52.08827146,5.16571160,5,63.100,,1.938,88,17,21,,
T,2021-10-15 13:22:29,52.08827619,5.16574748,5,63.100,,2.250,83,17,21,,
T,2021-10-15 13:22:30,52.08827691,5.16578830,5,63.000,,2.375,84,17,21,,
T,2021-10-15 13:22:31,52.08827460,5.16581428,5,62.700,,1.625,81,18,21,,
T,2021-10-15 13:22:32,52.08827540,5.16583281,5,62.600,,1.188,79,18,21,,
T,2021-10-15 13:22:33,52.08828189,5.16585418,5,62.400,,1.375,75,16,21,,
T,2021-10-15 13:22:34,52.08828898,5.16587690,5,62.400,,1.312,74,17,20,,
T,2021-10-15 13:22:35,52.08829547,5.16589383,5,62.200,,1.312,79,17,21,,
T,2021-10-15 13:22:36,52.08830683,5.16591428,5,62.200,,1.625,84,18,21,,
T,2021-10-15 13:22:37,52.08831010,5.16594135,5,62.500,,1.625,83,18,21,,
T,2021-10-15 13:22:38,52.08831521,5.16595979,5,62.700,,1.188,83,17,21,,
T,2021-10-15 13:22:39,52.08832167,5.16597521,5,63.100,,1.000,82,18,21,,
T,2021-10-15 13:22:40,52.08832892,5.16599030,5,63.500,,1.000,79,18,21,,
T,2021-10-15 13:22:41,52.08833596,5.16601142,5,63.900,,1.188,74,18,21,,
T,2021-10-15 13:22:42,52.08834250,5.16603716,5,64.200,,1.500,68,18,21,,
T,2021-10-15 13:22:43,52.08834547,5.16606616,5,64.500,,1.625,73,18,21,,
T,2021-10-15 13:22:44,52.08834903,5.16609860,5,65.100,,1.812,80,18,21,,
T,2021-10-15 13:22:45,52.08835406,5.16613020,5,65.500,,1.875,84,17,21,,
T,2021-10-15 13:22:46,52.08834849,5.16616004,5,65.500,,1.938,88,18,21,,
T,2021-10-15 13:22:47,52.08833927,5.16618334,5,65.600,,1.750,91,17,21,,
T,2021-10-15 13:22:48,52.08831986,5.16620153,5,66.100,,1.750,99,18,20,,
T,2021-10-15 13:22:49,52.08830872,5.16621787,5,66.200,,1.375,108,17,20,,
T,2021-10-15 13:22:50,52.08830406,5.16623497,5,66.400,,1.188,110,18,20,,
T,2021-10-15 13:22:51,52.08830121,5.16625802,5,66.700,,1.312,110,18,20,,
T,2021-10-15 13:22:52,52.08830138,5.16628057,5,67.300,,1.312,108,18,20,,
T,2021-10-15 13:22:53,52.08830432,5.16630127,5,67.600,,1.312,103,18,20,,
T,2021-10-15 13:22:54,52.08830683,5.16632239,5,68.000,,1.250,101,18,20,,
T,2021-10-15 13:22:55,52.08831370,5.16633958,5,68.400,,1.125,96,18,20,,
T,2021-10-15 13:22:56,52.08831970,5.16635978,5,68.900,,1.250,92,18,20,,
T,2021-10-15 13:22:57,52.08832804,5.16637864,5,69.400,,0.812,89,18,20,,
T,2021-10-15 13:22:58,52.08833499,5.16639750,5,69.900,,1.062,81,18,20,,
T,2021-10-15 13:22:59,52.08833784,5.16641837,5,70.400,,1.188,81,18,20,,
T,2021-10-15 13:23:00,52.08834019,5.16644410,5,70.700,,1.438,81,18,20,,
T,2021-10-15 13:23:01,52.08833625,5.16648307,5,71.200,,2.062,88,18,20,,
T,2021-10-15 13:23:02,52.08832795,5.16650738,5,71.200,,0.312,88,17,20,,
T,2021-10-15 13:23:03,52.08832297,5.16651149,5,71.300,,0.125,88,18,20,,
T,2021-10-15 13:23:04,52.08831169,5.16651543,5,71.200,,0.125,87,18,20,,
T,2021-10-15 13:23:05,52.08831169,5.16651543,5,71.200,,0.000,88,17,20,,
T,2021-10-15 13:23:06,52.08831169,5.16651543,5,71.200,,0.000,88,18,20,,
T,2021-10-15 13:23:07,52.08831169,5.16651543,5,71.200,,0.062,88,18,20,,
T,2021-10-15 13:23:08,52.08831169,5.16651543,5,71.200,,0.062,88,18,20,,
T,2021-10-15 13:23:09,52.08831169,5.16651543,5,71.200,,0.125,88,17,20,,
T,2021-10-15 13:23:10,52.08831169,5.16651543,5,71.200,,0.062,88,18,20,,
T,2021-10-15 13:23:11,52.08831169,5.16651543,5,71.200,,0.312,88,17,20,,
T,2021-10-15 13:23:12,52.08831169,5.16651543,5,71.200,,0.312,88,18,20,,
T,2021-10-15 13:23:13,52.08831169,5.16651543,5,71.200,,0.250,88,18,20,,
T,2021-10-15 13:23:14,52.08828571,5.16658307,5,70.500,,1.500,90,18,20,,
T,2021-10-15 13:23:15,52.08828269,5.16660847,5,70.400,,1.562,84,18,20,,
T,2021-10-15 13:23:16,52.08828068,5.16663428,5,70.300,,1.562,82,18,20,,
T,2021-10-15 13:23:17,52.08827963,5.16665943,5,70.200,,1.625,82,17,20,,
T,2021-10-15 13:23:18,52.08827741,5.16668776,5,70.000,,1.812,83,17,20,,
T,2021-10-15 13:23:19,52.08827158,5.16671559,5,70.200,,1.688,83,18,20,,
T,2021-10-15 13:23:20,52.08826819,5.16674107,5,70.300,,1.688,85,17,20,,
T,2021-10-15 13:23:21,52.08826534,5.16676596,5,70.300,,1.625,90,18,21,,
T,2021-10-15 13:23:22,52.08826547,5.16679488,5,70.400,,1.812,92,17,21,,
T,2021-10-15 13:23:23,52.08826639,5.16681810,5,70.600,,1.562,97,17,21,,
T,2021-10-15 13:23:24,52.08826065,5.16684517,5,70.900,,1.750,102,17,21,,
T,2021-10-15 13:23:25,52.08825792,5.16687174,5,71.200,,1.688,104,17,21,,
T,2021-10-15 13:23:26,52.08826111,5.16689303,5,71.400,,1.375,105,17,21,,
T,2021-10-15 13:23:27,52.08826123,5.16691432,5,71.400,,1.312,101,17,21,,
T,2021-10-15 13:23:28,52.08826136,5.16693478,5,71.500,,1.188,100,17,21,,
T,2021-10-15 13:23:29,52.08826081,5.16695405,5,71.700,,1.250,106,18,21,,
T,2021-10-15 13:23:30,52.08825968,5.16698171,5,71.900,,1.562,104,18,21,,
T,2021-10-15 13:23:31,52.08825939,5.16701499,5,71.900,,1.875,101,18,21,,
T,2021-10-15 13:23:32,52.08826056,5.16704751,5,71.900,,1.875,100,18,21,,
T,2021-10-15 13:23:33,52.08826157,5.16707526,5,71.600,,1.688,98,18,21,,
T,2021-10-15 13:23:34,52.08826148,5.16710577,5,71.200,,1.812,98,18,21,,
T,2021-10-15 13:23:35,52.08826102,5.16713443,5,71.000,,1.750,96,18,21,,
T,2021-10-15 13:23:36,52.08826605,5.16716167,5,70.700,,1.812,88,17,21,,
T,2021-10-15 13:23:37,52.08827008,5.16719210,5,70.400,,1.875,85,18,21,,
T,2021-10-15 13:23:38,52.08826836,5.16722219,5,70.100,,1.875,88,18,21,,
T,2021-10-15 13:23:39,52.08826609,5.16724708,5,69.800,,1.750,95,18,21,,
T,2021-10-15 13:23:40,52.08826123,5.16727089,5,69.800,,1.625,100,18,21,,
T,2021-10-15 13:23:41,52.08826442,5.16729645,5,69.700,,1.625,98,17,21,,
T,2021-10-15 13:23:42,52.08826932,5.16732437,5,69.500,,1.750,95,18,21,,
T,2021-10-15 13:23:43,52.08827196,5.16735060,5,69.400,,1.750,96,18,21,,
T,2021-10-15 13:23:44,52.08827611,5.16737332,5,69.300,,1.500,97,18,21,,
T,2021-10-15 13:23:45,52.08828076,5.16739184,5,69.200,,1.312,98,18,21,,
T,2021-10-15 13:23:46,52.08828659,5.16741615,5,69.200,,1.500,96,18,21,,
T,2021-10-15 13:23:47,52.08829061,5.16744381,5,69.100,,1.625,93,17,21,,
T,2021-10-15 13:23:48,52.08829698,5.16747382,5,69.100,,1.750,92,17,21,,
T,2021-10-15 13:23:49,52.08830247,5.16750189,5,69.000,,1.688,92,16,21,,
